TX, TY, BM, BK, BN, time(ms)
16,16,64,8,64,4.36
16,16,64,8,96,3.65
16,16,64,8,128,3.43
16,16,64,16,64,4.03
16,16,64,16,96,3.61
16,16,64,16,128,3.48
16,16,64,24,64,4.07
16,16,64,24,96,3.64
16,16,64,24,128,3.46
16,16,64,32,64,4.26
16,16,64,32,96,3.92
16,16,64,32,128,3.52
16,16,96,8,64,3.68
16,16,96,8,96,3.23
16,16,96,8,128,3.29
16,16,96,16,64,3.62
16,16,96,16,96,3.31
16,16,96,16,128,2.90
16,16,96,24,64,3.65
16,16,96,24,96,3.28
16,16,96,24,128,2.81
16,16,96,32,64,3.98
16,16,96,32,96,3.54
16,16,96,32,128,3.05
16,16,128,8,64,3.42
16,16,128,8,96,2.81
16,16,128,8,128,3.23
16,16,128,16,64,3.52
16,16,128,16,96,2.89
16,16,128,16,128,3.45
16,16,128,24,64,3.48
16,16,128,24,96,3.74
16,16,128,24,128,3.61
16,16,128,32,64,3.46
16,16,128,32,96,4.06
16,16,128,32,128,4.77
